jdbc:derby:Vehicles;create=true
DROP TABLE vehicles
CREATE TABLE vehicles(make varchar(50), model varchar(50), weight double, engineSize double, numberOfDoors int, isImport boolean)
INSERT INTO vehicles VALUES ('Chevy', 'suv', 2883.64, 398.63, 4, false)
INSERT INTO vehicles VALUES ('Chevy', 'suv', 3061.05, 345.12, 4, false)
INSERT INTO vehicles VALUES ('Chevy', 'intermediate', 2325.05, 156.96, 4, false)
INSERT INTO vehicles VALUES ('Chevy', 'van', 3468.3, 283.62, 4, false)
INSERT INTO vehicles VALUES ('Chevy', 'van', 3785.08, 348.29, 4, false)
INSERT INTO vehicles VALUES ('Nissan', 'fullSized', 3866.37, 338.45, 4, true)
INSERT INTO vehicles VALUES ('Chevy', 'suv', 2659.98, 328.58, 4, false)
INSERT INTO vehicles VALUES ('Hyundai', 'suv', 2942.84, 314.63, 4, true)
INSERT INTO vehicles VALUES ('Hyundai', 'suv', 3156.28, 339.24, 4, true)
INSERT INTO vehicles VALUES ('Ford', 'fullSized', 3577.74, 316.95, 4, false)
SELECT make, model, weight, engineSize, numberOfDoors, isImport FROM vehicles
