jdbc:derby:Vehicles;create=true
DROP TABLE vehicles
CREATE TABLE vehicles(make varchar(50), model varchar(50), weight double, engineSize double, numberOfDoors int, isImport boolean)
INSERT INTO vehicles VALUES ('Nissan', 'suv', 3547.96, 370.15, 4, true)
INSERT INTO vehicles VALUES ('Chevy', 'van', 3371.18, 339.25, 4, false)
INSERT INTO vehicles VALUES ('Toyota', 'suv', 3229.34, 379.59, 4, true)
INSERT INTO vehicles VALUES ('Toyota', 'suv', 2716.97, 266.0, 4, true)
INSERT INTO vehicles VALUES ('Ford', 'compact', 1613.72, 122.68, 2, false)
INSERT INTO vehicles VALUES ('Chevy', 'compact', 1956.98, 116.17, 2, false)
INSERT INTO vehicles VALUES ('Nissan', 'van', 3864.76, 379.51, 4, true)
INSERT INTO vehicles VALUES ('Nissan', 'van', 3400.29, 250.13, 4, true)
INSERT INTO vehicles VALUES ('Toyota', 'compact', 1830.12, 134.79, 2, true)
INSERT INTO vehicles VALUES ('Chevy', 'compact', 1596.47, 134.77, 2, false)
SELECT make, model, weight, engineSize, numberOfDoors, isImport FROM vehicles
